DaysOnMarket,Latitude,Longitude,BathroomsTotalInteger,LivingArea,FireplaceYN,YearBuilt,ParkingTotal,BedroomsTotal,PoolPrivateYN,LotSizeAcres,Stories
39,32.730575,-117.014065,2.0,1188.0,False,1970.0,1.0,3.0,True,0.2185,1.0
3,33.447342,-117.651149,3.0,2298.0,True,1980.0,4.0,4.0,False,0.1377,2.0
10,37.29206,-120.498777,1.0,1050.0,False,1960.0,2.0,3.0,False,0.5,1.0
5,34.274165,-118.481442,2.0,1720.0,False,1954.0,2.0,4.0,False,0.1729,1.0
13,34.040831,-117.035751,1.0,1586.0,True,1955.0,2.0,4.0,False,0.25,1.0
3,37.50536667,-122.46413922,4.0,2640.0,True,2008.0,2.0,4.0,False,0.1302,1.0
26,33.968067,-116.509415,2.0,1867.0,True,1987.0,3.0,2.0,True,0.15,2.0
31,33.989878999999995,-117.36982,3.0,1586.0,True,2003.0,2.0,3.0,False,0.06,2.0
14,32.656855,-116.98198,4.0,2424.0,True,1988.0,4.0,4.0,False,0.1508,2.0
27,32.67525518,-117.05884786,2.0,1566.0,True,1961.0,4.0,3.0,False,0.9957,2.0
13,34.566128000000006,-118.171986,3.0,2544.0,True,2005.0,4.0,4.0,False,0.1451,2.0
10,32.698396,-117.129195,2.0,932.0,False,2015.0,0.0,3.0,False,0.0861,1.0
13,37.88217066,-122.26699561,2.0,1196.0,True,1928.0,1.0,2.0,False,0.0585,1.0
122,37.424445,-120.788397,3.0,1559.0,False,2003.0,2.0,4.0,False,0.1338,2.0
4,34.145374,-117.241334,3.0,2072.0,True,1964.0,2.0,4.0,True,0.2075,2.0
15,33.750227,-117.020544,2.0,2457.0,True,2010.0,2.0,3.0,False,0.17,1.0
250,33.756509,-116.733307,2.0,1936.0,True,1992.0,7.0,3.0,False,0.21,1.0
7,37.92243649,-121.71503924,3.0,1802.0,True,1994.0,2.0,3.0,False,0.1281,2.0
25,38.16003655,-122.18448439,3.0,1665.0,True,2004.0,2.0,3.0,False,0.06,2.0
28,34.016036,-117.027996,1.0,1446.0,True,1956.0,2.0,2.0,False,0.3551,1.0
